text,target
快递包装太简陋，商品都磕碰坏了。,0
餐厅上菜超慢，等了一个多小时，菜还是凉的，差评！,0
服务人员态度冷淡，问什么都爱答不理的。,0
商品收到很惊喜，比图片还好看，推荐购买！,1
服务态度五星好评，问题处理得又快又好。,1
产品功能齐全，操作简单，老人家也能轻松使用。,1
这家餐厅的招牌菜太好吃了，下次还要带朋友来。,1
书的印刷质量很差，字迹模糊，不像正版。,0
手机运行流畅，系统很稳定，外观设计也很漂亮。,1
这家酒店的服务真的太棒了，前台态度超好，房间干净整洁，下次还会再来！,1
这个APP界面简洁，功能强大，用起来非常顺手。,1
这本书内容丰富，观点独到，读完收获很大。,1
快递暴力运输，包裹都压变形了，太不负责了。,0
产品包装严实，没有任何损坏，物流速度也快。,1
这家店东西贵不说，质量还没保障。,0
这本书写得太好了，情节引人入胜，文笔优美，值得一读再读。,1
商品质量和描述不符，申请退款还很麻烦。,0
售后服务太差了，打了好几次电话都没人处理。,0
这次旅行体验非常棒，导游专业负责，行程安排合理。,1
手机拍照效果惊艳，夜景模式特别出色。,1
客服态度恶劣，问题一直没解决，再也不会来了。,0
这部剧剧情老套，演技尴尬，弃剧了。,0
商品收到了，和卖家描述的一样，非常满意！,1
餐厅的甜点超级好吃，环境也很适合拍照。,1
商家发货慢，东西还破损了，售后态度差。,0
这款耳机音质太赞了，降噪效果一流，戴着很舒服。,1
这家店的东西真的很实惠，品质也有保障。,1
酒店位置偏僻，打车都不方便，选址太差。,0
这家店的服务态度一级棒，价格实惠，东西也很正宗。,1
餐厅菜品味道一般，环境也很吵闹，不推荐。,0
电影院环境很好，音效震撼，座椅舒适，观影体验极佳。,1
这个品牌的产品一直都很好用，会继续支持。,1
酒店隔音太差了，走廊说话都听得一清二楚。,0
产品设计很人性化，使用方便，真的是好物推荐。,1
产品用了几天就坏了，质量也太差了吧。,0
客服态度非常好，问题解决得很及时，物流也很快，好评！,1
餐厅分量太少，价格还贵，性价比极低。,0
耳机音质一般，降噪效果很差，不值这个价。,0
酒店服务周到，设施完善，住得非常舒适。,1
餐厅上菜速度快，分量足，口味正宗，性价比超高。,1
产品性能稳定，售后服务也很到位，很满意。,1
这款洗面奶用着很温和，洗完脸不紧绑，好用！,1
酒店位置绝佳，出行方便，早餐种类丰富，住得很舒心。,1
商品图片和实物差距太大，严重货不对板。,0
这次售后服务体验很好，问题很快就解决了。,1
商家发货超快，东西质量也很好，非常满意这次购物。,1
手机发热严重，玩一会儿就烫手，设计有问题。,0
酒店的早餐很丰盛，中西式都有，味道也不错。,1
旅行团安排太紧凑，购物点倒是去了一大堆。,0
商品和描述完全一致，发货速度快，包装也很用心。,1
这款游戏画面精美，玩法有趣，让人爱不释手。,1
餐厅的菜品味道鲜美，环境优雅，服务周到，是约会的好去处。,1
酒店设施齐全，房间宽敞明亮，景观也很美。,1
这部剧剧情紧凑，演员演技精湛，追剧停不下来。,1
产品质量很好，包装精美，送人很有面子，会回购的。,1
产品设计不合理，使用起来很不方便。,0
这款护肤品用了一周，皮肤明显变好了，性价比很高。,1
课程内容水分大，老师照本宣科，浪费钱。,0
商品质量超出预期，这个价格买到真的赚了。,1
产品功能鸡肋，宣传的功能根本不实用。,0
护肤品用了过敏，质量堪忧，不敢再用了。,0
产品售后形同虚设，坏了都没人管。,0
这本书内容空洞，毫无新意，完全是浪费钱。,0
这款产品真的太实用了，解决了我的大问题。,1
酒店房间太小了，隔音效果也差，晚上根本睡不好。,0
酒店设施老旧，空调声音很大，睡眠质量差。,0
酒店地理位置优越，交通便利，出行很方便。,1
这个APP广告太多，还经常闪退，卸载了。,0
电影院座位太挤，空调也不好，体验很差。,0
这个牌子以前还行，现在质量越来越差了。,0
